"","DATE","TOT_CAT_ALL"
"1",1990-03-01,95203.29467
"2",1990-05-01,137670.65253
"3",1990-07-01,290256.579101
"4",1990-09-01,152139.659184
"5",1990-11-01,69877.701331
"6",1991-01-01,251095.701056
"7",1991-03-01,432313.700781
"8",1991-05-01,600743.90468
"9",1991-07-01,152651.599559
"10",1991-09-01,160836.176329
"11",1991-11-01,17367.4013077
"12",1992-01-01,99548.04089885
"13",1992-03-01,181728.68049
"14",1992-05-01,284774.262934
"15",1992-07-01,285755.14312
"16",1992-09-01,219773.62825
"17",1992-11-01,170123.8212999
"18",1993-01-01,184302.26625645
"19",1993-03-01,198480.711213
"20",1993-05-01,164170.80959
"21",1993-07-01,188236.772768
"22",1993-09-01,255461.058883
"23",1993-11-01,126207.991363
"24",1994-01-01,140549.4061875
"25",1994-03-01,154890.821012
"26",1994-05-01,312886.9478041
"27",1994-07-01,233063.4606042
"28",1994-09-01,342724.176484
"29",1994-11-01,300142.154767
"30",1995-01-01,222569.302748
"31",1995-03-01,144996.450729
"32",1995-05-01,299684.7299947
"33",1995-07-01,324627.83204628
"34",1995-09-01,108475.421256
"35",1995-11-01,177916.8449598
"36",1996-01-01,199369.5680539
"37",1996-03-01,220822.291148
"38",1996-05-01,201425.1897
"39",1996-07-01,117233.925376
"40",1996-09-01,91036.8263905
"41",1996-11-01,72415.8578756
"42",1997-01-01,137030.3992598
"43",1997-03-01,201644.940644
"44",1997-05-01,176121.475192
"45",1997-07-01,258976.9879891
"46",1997-09-01,324464.469623
"47",1997-11-01,140100.970876
"48",1998-01-01,94570.5861111
"49",1998-03-01,49040.2013462
"50",1998-05-01,507254.509161
"51",1998-07-01,533560.934119
"52",1998-09-01,179952.389101
"53",1998-11-01,238604.6142388
"54",1999-01-01,268550.05364622
"55",1999-03-01,298495.49305364
"56",1999-05-01,467923.728941
"57",1999-07-01,431416.144154
"58",1999-09-01,217411.701456
"59",1999-11-01,29506.130601
"60",2000-01-01,77113.42309025
"61",2000-03-01,124720.7155795
"62",2000-05-01,202041.7257169
"63",2000-07-01,381326.655148
"64",2000-09-01,610155.4792068
"65",2000-11-01,662240.68236
"66",2001-01-01,589250.120745
"67",2001-03-01,516259.55913
"68",2001-05-01,473587.336573
"69",2001-07-01,406297.610259
