"","DATE","TOT_CAT_ALL"
"1",1990-03-01,422303.327031
"2",1990-05-01,2705187.783813
"3",1990-07-01,1429516.6126205
"4",1990-09-01,1338642.80345
"5",1990-11-01,3370870.4136587
"6",1991-01-01,204808.0527
"7",1991-03-01,1112787.4341061
"8",1991-05-01,515526.051934
"9",1991-07-01,249350.081351
"10",1991-09-01,755760.2971497
"11",1991-11-01,1064369.700226
"12",1992-01-01,812596.996099
"13",1992-03-01,560824.291972
"14",1992-05-01,631240.116963
"15",1992-07-01,491832.35994967
"16",1992-09-01,1120155.7290751
"17",1992-11-01,716440.2507401
"18",1993-01-01,665341.05819205
"19",1993-03-01,614241.865644
"20",1993-05-01,668456.229664
"21",1993-07-01,528808.981797
"22",1993-09-01,916075.7516003
"23",1993-11-01,717695.7607823
"24",1994-01-01,599838.75057745
"25",1994-03-01,481981.7403726
"26",1994-05-01,1095783.083767
"27",1994-07-01,330049.764566
"28",1994-09-01,725028.0605701
"29",1994-11-01,1276291.7449
"30",1995-01-01,779545.8873463
"31",1995-03-01,282800.0297926
"32",1995-05-01,1420553.5773537
"33",1995-07-01,507654.83492141
"34",1995-09-01,587931.397437
"35",1995-11-01,207201.8561812
"36",1996-01-01,239580.4402861
"37",1996-03-01,271959.024391
"38",1996-05-01,754554.513939
"39",1996-07-01,392469.547029
"40",1996-09-01,393146.000007
"41",1996-11-01,433818.8664675
"42",1997-01-01,353492.82620015
"43",1997-03-01,273166.7859328
"44",1997-05-01,694043.4753358
"45",1997-07-01,775228.1677367
"46",1997-09-01,806768.30523
"47",1997-11-01,1213502.573665
"48",1998-01-01,765738.514881525
"49",1998-03-01,317974.45609805
"50",1998-05-01,1347427.05208
"51",1998-07-01,478276.758423
"52",1998-09-01,227205.6516356
"53",1998-11-01,689710.5370654
"54",1999-01-01,594784.2690035
"55",1999-03-01,499858.0009416
"56",1999-05-01,1497035.0047812
"57",1999-07-01,468569.812774
"58",1999-09-01,1071863.778498
"59",1999-11-01,986945.6529831
"60",2000-01-01,830799.57254905
"61",2000-03-01,674653.492115
"62",2000-05-01,4068913.487771
"63",2000-07-01,809657.3925645
"64",2000-09-01,1011380.997454
"65",2000-11-01,992485.239543
"66",2001-01-01,1115722.375745
"67",2001-03-01,1238959.511947
"68",2001-05-01,4140164.531185
"69",2001-07-01,985146.891286
