"","DATE","TOT_CAT_ALL"
"1",1990-01-01,484714.4832707
"2",1990-03-01,2485857.17953565
"3",1990-05-01,9215674.22774748
"4",1990-07-01,13992342.3392939
"5",1990-09-01,11808541.6021494
"6",1990-11-01,10354163.5233358
"7",1991-01-01,413701.0440127
"8",1991-03-01,5457693.85445924
"9",1991-05-01,15110204.7482375
"10",1991-07-01,8986336.60321321
"11",1991-09-01,11813162.5727661
"12",1991-11-01,5628683.30245936
"13",1992-01-01,11869.9880841
"14",1992-03-01,6429638.93230277
"15",1992-05-01,11723999.6753982
"16",1992-07-01,10219315.1773171
"17",1992-09-01,10984950.0904078
"18",1992-11-01,6653521.14376102
"19",1993-01-01,4261067.38632947
"20",1993-03-01,1868613.62889792
"21",1993-05-01,7851381.42772528
"22",1993-07-01,11007882.6767018
"23",1993-09-01,12689775.0948852
"24",1993-11-01,5410398.34291874
"25",1994-01-01,4910290.74242588
"26",1994-03-01,4410183.14193301
"27",1994-05-01,10893663.7087041
"28",1994-07-01,12587648.0909027
"29",1994-09-01,18843060.9001711
"30",1994-11-01,7047673.08828297
"31",1995-01-01,4911488.51279297
"32",1995-03-01,2775303.93730298
"33",1995-05-01,11703854.9648519
"34",1995-07-01,9554945.00433475
"35",1995-09-01,11710912.304071
"36",1995-11-01,5942902.44873123
"37",1996-01-01,4358271.0748849
"38",1996-03-01,2773639.70103857
"39",1996-05-01,10852814.2113121
"40",1996-07-01,9495904.84274648
"41",1996-09-01,9941780.53497043
"42",1996-11-01,5710473.33172435
"43",1997-01-01,3981008.21270418
"44",1997-03-01,2251543.09368401
"45",1997-05-01,8509367.58889632
"46",1997-07-01,12725745.6445324
"47",1997-09-01,12822247.5458468
"48",1997-11-01,5765767.23304966
"49",1998-01-01,3964303.80585114
"50",1998-03-01,2162840.37865263
"51",1998-05-01,10932200.9795133
"52",1998-07-01,13993860.9868938
"53",1998-09-01,16009461.0940684
"54",1998-11-01,6015026.89805442
"55",1999-01-01,4863249.88087587
"56",1999-03-01,3711472.86369732
"57",1999-05-01,14390618.825164
"58",1999-07-01,11237023.6151783
"59",1999-09-01,12262881.3307178
"60",1999-11-01,8063206.94503466
"61",2000-01-01,5360514.963684
"62",2000-03-01,2657822.98233333
"63",2000-05-01,15351124.6304543
"64",2000-07-01,12762972.091995
"65",2000-09-01,18506236.1843834
"66",2000-11-01,10786470.1533665
"67",2001-01-01,7596599.49641725
"68",2001-03-01,4406728.83946802
"69",2001-05-01,16181841.4392868
"70",2001-07-01,15834780.0321085
"71",2001-09-01,22957160.8447879
"72",2001-11-01,11223893.317633
"73",2002-01-01,7696904.46948489
"74",2002-03-01,4169915.62133678
"75",2002-05-01,15140179.7747318
"76",2002-07-01,13572801.2443635
"77",2002-09-01,29521663.0965518
"78",2002-11-01,10716866.7797676
"79",2003-01-01,7448880.61427857
"80",2003-03-01,4180894.44878955
"81",2003-05-01,16792847.3472944
"82",2003-07-01,15999692.067422
"83",2003-09-01,23574609.3878462
"84",2003-11-01,11347269.0158596
"85",2004-01-01,469362.251080428
"86",2004-03-01,4821988.92877465
"87",2004-05-01,16581683.6274815
"88",2004-07-01,18804306.9866818
"89",2004-09-01,20232932.8625056
"90",2004-11-01,9852830.0749868
"91",2005-01-01,554482.85150506
"92",2005-03-01,5659199.81124592
"93",2005-05-01,13234805.7675179
"94",2005-07-01,17519041.3091785
"95",2005-09-01,22363475.7521489
"96",2005-11-01,12644447.5596572
"97",2006-01-01,639513.277664483
"98",2006-03-01,5856386.98775098
"99",2006-05-01,23592761.2877525
"100",2006-07-01,24290175.0182212
"101",2006-09-01,22684036.2442428
"102",2006-11-01,9936358.02310172
"103",2007-01-01,404159.187766817
"104",2007-03-01,4405854.2668929
"105",2007-05-01,19706441.9809329
"106",2007-07-01,17774618.3776808
"107",2007-09-01,21494788.3329028
"108",2007-11-01,17244600.6674695
"109",2008-01-01,974473.587852047
"110",2008-03-01,7135295.55465115
"111",2008-05-01,14081397.1784628
"112",2008-07-01,19411140.746326
"113",2008-09-01,20992228.0997273
"114",2008-11-01,12987211.1408308
"115",2009-01-01,824307.941158892
"116",2009-03-01,6405690.45325331
"117",2009-05-01,23923966.4782498
"118",2009-07-01,21963388.2521969
"119",2009-09-01,19792370.5438627
"120",2009-11-01,14048773.1895059
"121",2010-01-01,742840.436655785
"122",2010-03-01,6705859.29041504
"123",2010-05-01,20804873.1013282
"124",2010-07-01,22881840.9747366
"125",2010-09-01,25681212.777761
"126",2010-11-01,17733864.6762426
"127",2011-01-01,709170.234769358
"128",2011-03-01,7928694.77585327
"129",2011-05-01,19431391.3500359
"130",2011-07-01,21894296.2226995
"131",2011-09-01,26002197.802072
"132",2011-11-01,14486097.5672872
"133",2012-01-01,801826.694924885
"134",2012-03-01,5688829.04699118
"135",2012-05-01,14007514.2825735
"136",2012-07-01,24878765.9928571
"137",2012-09-01,28560206.0094332
"138",2012-11-01,10387258.7640539
"139",2013-01-01,2801650.30334904
"140",2013-03-01,6279752.74712529
"141",2013-05-01,22902742.9845771
"142",2013-07-01,27328461.8472026
"143",2013-09-01,33497204.8972667
"144",2013-11-01,15675516.5746311
"145",2014-01-01,2472520.2023083
"146",2014-03-01,7779062.87033229
"147",2014-05-01,21880807.7358526
"148",2014-07-01,30619648.2281768
"149",2014-09-01,33750257.3573838
"150",2014-11-01,18114509.9837951
"151",2015-01-01,2460235.95815985
"152",2015-03-01,13666969.6930281
"153",2015-05-01,19691784.5478904
"154",2015-07-01,28035331.6024414
"155",2015-09-01,22648698.313588
"156",2015-11-01,21885352.634835
"157",2016-01-01,2606119.93187216
"158",2016-03-01,11470851.7300586
"159",2016-05-01,24772156.7840755
"160",2016-07-01,23086959.5636575
"161",2016-09-01,34932698.4644051
"162",2016-11-01,12055143.5325089
"163",2017-01-01,7013134.81930741
"164",2017-03-01,12787842.6835543
"165",2017-05-01,25632858.7578685
"166",2017-07-01,11833737.8030092
"167",2017-09-01,30924432.5365729
"168",2017-11-01,10144215.5878436
"169",2018-01-01,2827608.20587461
"170",2018-03-01,6504525.68855778
"171",2018-05-01,12422869.8031415
"172",2018-07-01,14381591.171359
"173",2018-09-01,32892711.3087351
"174",2018-11-01,9605513.35493569
"175",2019-01-01,2362235.20586844
"176",2019-03-01,10987027.2745873
"177",2019-05-01,16877200.5641087
"178",2019-07-01,17932813.6732729
"179",2019-09-01,22582228.4127284
"180",2019-11-01,11030866.2153594
